Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Random'],35000.0,10000
['Random'],36551.724137931036,10000
['Random'],38103.44827586207,10000
['Random'],39655.1724137931,10000
['Random'],41206.89655172414,10000
['Random'],42758.620689655174,4819
['Random'],44310.3448275862,3707
['Random'],45862.06896551724,3817
['Random'],47413.793103448275,3506
['Random'],48965.51724137931,3742
['Random'],50517.24137931035,3742
['Random'],52068.96551724138,3742
['Random'],53620.68965517241,3742
['Random'],55172.41379310345,3742
['Random'],56724.13793103448,3742
['Random'],58275.862068965514,3742
['Random'],59827.58620689655,3742
['Random'],61379.31034482759,3742
['Random'],62931.03448275862,3742
['Random'],64482.75862068965,3742
['Random'],66034.4827586207,3742
['Random'],67586.20689655172,3742
['Random'],69137.93103448275,3742
['Random'],70689.6551724138,3742
['Random'],72241.37931034483,3742
['Random'],73793.10344827586,3742
['Random'],75344.8275862069,3742
['Random'],76896.55172413793,3742
['Random'],78448.27586206896,3742
['Random'],80000.0,3742
['Highest_degree'],35000.0,10000
['Highest_degree'],36551.724137931036,8000
['Highest_degree'],38103.44827586207,10000
['Highest_degree'],39655.1724137931,10000
['Highest_degree'],41206.89655172414,10000
['Highest_degree'],42758.620689655174,10000
['Highest_degree'],44310.3448275862,14000
['Highest_degree'],45862.06896551724,4140
['Highest_degree'],47413.793103448275,3527
['Highest_degree'],48965.51724137931,3505
['Highest_degree'],50517.24137931035,3250
['Highest_degree'],52068.96551724138,3250
['Highest_degree'],53620.68965517241,3250
['Highest_degree'],55172.41379310345,3250
['Highest_degree'],56724.13793103448,3250
['Highest_degree'],58275.862068965514,3250
['Highest_degree'],59827.58620689655,3250
['Highest_degree'],61379.31034482759,3250
['Highest_degree'],62931.03448275862,3250
['Highest_degree'],64482.75862068965,3250
['Highest_degree'],66034.4827586207,3250
['Highest_degree'],67586.20689655172,3250
['Highest_degree'],69137.93103448275,3250
['Highest_degree'],70689.6551724138,3250
['Highest_degree'],72241.37931034483,3250
['Highest_degree'],73793.10344827586,3250
['Highest_degree'],75344.8275862069,3250
['Highest_degree'],76896.55172413793,3250
['Highest_degree'],78448.27586206896,3250
['Highest_degree'],80000.0,3250
['Lowest_degree'],35000.0,8000
['Lowest_degree'],36551.724137931036,8000
['Lowest_degree'],38103.44827586207,8000
['Lowest_degree'],39655.1724137931,8000
['Lowest_degree'],41206.89655172414,9000
['Lowest_degree'],42758.620689655174,8000
['Lowest_degree'],44310.3448275862,9000
['Lowest_degree'],45862.06896551724,9000
['Lowest_degree'],47413.793103448275,9000
['Lowest_degree'],48965.51724137931,10000
['Lowest_degree'],50517.24137931035,10000
['Lowest_degree'],52068.96551724138,10000
['Lowest_degree'],53620.68965517241,10000
['Lowest_degree'],55172.41379310345,10000
['Lowest_degree'],56724.13793103448,13000
['Lowest_degree'],58275.862068965514,13000
['Lowest_degree'],59827.58620689655,5312
['Lowest_degree'],61379.31034482759,4847
['Lowest_degree'],62931.03448275862,4780
['Lowest_degree'],64482.75862068965,4676
['Lowest_degree'],66034.4827586207,4676
['Lowest_degree'],67586.20689655172,4676
['Lowest_degree'],69137.93103448275,4676
['Lowest_degree'],70689.6551724138,4676
['Lowest_degree'],72241.37931034483,4676
['Lowest_degree'],73793.10344827586,4676
['Lowest_degree'],75344.8275862069,4676
['Lowest_degree'],76896.55172413793,4676
['Lowest_degree'],78448.27586206896,4676
['Lowest_degree'],80000.0,4676
['Highest_gamma'],35000.0,10000
['Highest_gamma'],36551.724137931036,10000
