Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Random'],35000.0,10000
['Random'],36551.724137931036,10000
['Random'],38103.44827586207,10000
['Random'],39655.1724137931,10000
['Random'],41206.89655172414,10000
['Random'],42758.620689655174,10000
['Random'],44310.3448275862,10000
['Random'],45862.06896551724,10000
['Random'],47413.793103448275,10000
['Random'],48965.51724137931,10000
['Random'],50517.24137931035,10000
['Random'],52068.96551724138,10000
['Random'],53620.68965517241,4718
['Random'],55172.41379310345,3863
['Random'],56724.13793103448,3619
['Random'],58275.862068965514,3588
['Random'],59827.58620689655,3588
['Random'],61379.31034482759,3588
['Random'],62931.03448275862,3588
['Random'],64482.75862068965,3588
['Random'],66034.4827586207,3588
['Random'],67586.20689655172,3588
['Random'],69137.93103448275,3588
['Random'],70689.6551724138,3588
['Random'],72241.37931034483,3588
['Random'],73793.10344827586,3588
['Random'],75344.8275862069,3588
['Random'],76896.55172413793,3588
['Random'],78448.27586206896,3588
['Random'],80000.0,3588
['Highest_degree'],35000.0,7000
['Highest_degree'],36551.724137931036,7000
['Highest_degree'],38103.44827586207,8000
['Highest_degree'],39655.1724137931,8000
['Highest_degree'],41206.89655172414,8000
['Highest_degree'],42758.620689655174,10000
['Highest_degree'],44310.3448275862,10000
['Highest_degree'],45862.06896551724,10000
['Highest_degree'],47413.793103448275,10000
['Highest_degree'],48965.51724137931,3912
['Highest_degree'],50517.24137931035,3928
['Highest_degree'],52068.96551724138,3612
['Highest_degree'],53620.68965517241,3573
['Highest_degree'],55172.41379310345,3573
['Highest_degree'],56724.13793103448,3573
['Highest_degree'],58275.862068965514,3573
['Highest_degree'],59827.58620689655,3573
['Highest_degree'],61379.31034482759,3573
['Highest_degree'],62931.03448275862,3573
['Highest_degree'],64482.75862068965,3573
['Highest_degree'],66034.4827586207,3573
['Highest_degree'],67586.20689655172,3573
['Highest_degree'],69137.93103448275,3573
['Highest_degree'],70689.6551724138,3573
['Highest_degree'],72241.37931034483,3573
['Highest_degree'],73793.10344827586,3573
['Highest_degree'],75344.8275862069,3573
['Highest_degree'],76896.55172413793,3573
['Highest_degree'],78448.27586206896,3573
['Highest_degree'],80000.0,3573
['Lowest_degree'],35000.0,10000
['Lowest_degree'],36551.724137931036,10000
['Lowest_degree'],38103.44827586207,10000
['Lowest_degree'],39655.1724137931,10000
['Lowest_degree'],41206.89655172414,10000
['Lowest_degree'],42758.620689655174,10000
['Lowest_degree'],44310.3448275862,10000
['Lowest_degree'],45862.06896551724,10000
['Lowest_degree'],47413.793103448275,10000
['Lowest_degree'],48965.51724137931,10000
['Lowest_degree'],50517.24137931035,10000
['Lowest_degree'],52068.96551724138,10000
['Lowest_degree'],53620.68965517241,10000
['Lowest_degree'],55172.41379310345,10000
['Lowest_degree'],56724.13793103448,10000
['Lowest_degree'],58275.862068965514,11000
['Lowest_degree'],59827.58620689655,12000
['Lowest_degree'],61379.31034482759,11000
['Lowest_degree'],62931.03448275862,11000
['Lowest_degree'],64482.75862068965,12000
['Lowest_degree'],66034.4827586207,12000
['Lowest_degree'],67586.20689655172,5864
['Lowest_degree'],69137.93103448275,4680
['Lowest_degree'],70689.6551724138,4615
['Lowest_degree'],72241.37931034483,4615
['Lowest_degree'],73793.10344827586,4615
['Lowest_degree'],75344.8275862069,4615
['Lowest_degree'],76896.55172413793,4615
['Lowest_degree'],78448.27586206896,4615
['Lowest_degree'],80000.0,4615
['Highest_gamma'],35000.0,8000
['Highest_gamma'],36551.724137931036,8000
