Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Random'],35000.0,10000
['Random'],36551.724137931036,10000
['Random'],38103.44827586207,10000
['Random'],39655.1724137931,10000
['Random'],41206.89655172414,10000
['Random'],42758.620689655174,10000
['Random'],44310.3448275862,10000
['Random'],45862.06896551724,10000
['Random'],47413.793103448275,4623
['Random'],48965.51724137931,3975
['Random'],50517.24137931035,3471
['Random'],52068.96551724138,3385
['Random'],53620.68965517241,3285
['Random'],55172.41379310345,3285
['Random'],56724.13793103448,3285
['Random'],58275.862068965514,3285
['Random'],59827.58620689655,3285
['Random'],61379.31034482759,3285
['Random'],62931.03448275862,3285
['Random'],64482.75862068965,3285
['Random'],66034.4827586207,3285
['Random'],67586.20689655172,3285
['Random'],69137.93103448275,3285
['Random'],70689.6551724138,3285
['Random'],72241.37931034483,3285
['Random'],73793.10344827586,3285
['Random'],75344.8275862069,3285
['Random'],76896.55172413793,3285
['Random'],78448.27586206896,3285
['Random'],80000.0,3285
['Highest_degree'],35000.0,8000
['Highest_degree'],36551.724137931036,9000
['Highest_degree'],38103.44827586207,10000
['Highest_degree'],39655.1724137931,10000
['Highest_degree'],41206.89655172414,10000
['Highest_degree'],42758.620689655174,10000
['Highest_degree'],44310.3448275862,9000
['Highest_degree'],45862.06896551724,10000
['Highest_degree'],47413.793103448275,3608
['Highest_degree'],48965.51724137931,3514
['Highest_degree'],50517.24137931035,3454
['Highest_degree'],52068.96551724138,3383
['Highest_degree'],53620.68965517241,3355
['Highest_degree'],55172.41379310345,3355
['Highest_degree'],56724.13793103448,3355
['Highest_degree'],58275.862068965514,3355
['Highest_degree'],59827.58620689655,3355
['Highest_degree'],61379.31034482759,3355
['Highest_degree'],62931.03448275862,3355
['Highest_degree'],64482.75862068965,3355
['Highest_degree'],66034.4827586207,3355
['Highest_degree'],67586.20689655172,3355
['Highest_degree'],69137.93103448275,3355
['Highest_degree'],70689.6551724138,3355
['Highest_degree'],72241.37931034483,3355
['Highest_degree'],73793.10344827586,3355
['Highest_degree'],75344.8275862069,3355
['Highest_degree'],76896.55172413793,3355
['Highest_degree'],78448.27586206896,3355
['Highest_degree'],80000.0,3355
['Lowest_degree'],35000.0,10000
['Lowest_degree'],36551.724137931036,10000
['Lowest_degree'],38103.44827586207,10000
['Lowest_degree'],39655.1724137931,10000
['Lowest_degree'],41206.89655172414,10000
['Lowest_degree'],42758.620689655174,10000
['Lowest_degree'],44310.3448275862,10000
['Lowest_degree'],45862.06896551724,10000
['Lowest_degree'],47413.793103448275,10000
['Lowest_degree'],48965.51724137931,10000
['Lowest_degree'],50517.24137931035,10000
['Lowest_degree'],52068.96551724138,11000
['Lowest_degree'],53620.68965517241,11000
['Lowest_degree'],55172.41379310345,11000
['Lowest_degree'],56724.13793103448,10000
['Lowest_degree'],58275.862068965514,10000
['Lowest_degree'],59827.58620689655,4921
['Lowest_degree'],61379.31034482759,4350
['Lowest_degree'],62931.03448275862,4142
['Lowest_degree'],64482.75862068965,4100
['Lowest_degree'],66034.4827586207,4100
['Lowest_degree'],67586.20689655172,4100
['Lowest_degree'],69137.93103448275,4100
['Lowest_degree'],70689.6551724138,4100
['Lowest_degree'],72241.37931034483,4100
['Lowest_degree'],73793.10344827586,4100
['Lowest_degree'],75344.8275862069,4100
['Lowest_degree'],76896.55172413793,4100
['Lowest_degree'],78448.27586206896,4100
['Lowest_degree'],80000.0,4100
['Highest_gamma'],35000.0,9000
['Highest_gamma'],36551.724137931036,10000
