Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Random'],35000.0,10000
['Random'],36206.89655172414,10000
['Random'],37413.793103448275,10000
['Random'],38620.68965517241,10000
['Random'],39827.58620689655,10000
['Random'],41034.48275862069,10000
['Random'],42241.379310344826,10000
['Random'],43448.275862068964,10000
['Random'],44655.1724137931,10000
['Random'],45862.06896551724,10000
['Random'],47068.96551724138,10000
['Random'],48275.862068965514,10000
['Random'],49482.75862068965,12000
['Random'],50689.6551724138,4460
['Random'],51896.55172413793,3451
['Random'],53103.44827586207,3435
['Random'],54310.3448275862,3434
['Random'],55517.24137931035,3434
['Random'],56724.13793103448,3434
['Random'],57931.03448275862,3434
['Random'],59137.93103448275,3434
['Random'],60344.8275862069,3434
['Random'],61551.72413793103,3434
['Random'],62758.620689655174,3434
['Random'],63965.51724137931,3434
['Random'],65172.41379310345,3434
['Random'],66379.3103448276,3434
['Random'],67586.20689655172,3434
['Random'],68793.10344827586,3434
['Random'],70000.0,3434
['Highest_degree'],35000.0,8000
['Highest_degree'],36206.89655172414,10000
['Highest_degree'],37413.793103448275,10000
['Highest_degree'],38620.68965517241,8000
['Highest_degree'],39827.58620689655,10000
['Highest_degree'],41034.48275862069,10000
['Highest_degree'],42241.379310344826,10000
['Highest_degree'],43448.275862068964,10000
['Highest_degree'],44655.1724137931,10000
['Highest_degree'],45862.06896551724,10000
['Highest_degree'],47068.96551724138,10000
['Highest_degree'],48275.862068965514,12000
['Highest_degree'],49482.75862068965,3880
['Highest_degree'],50689.6551724138,3614
['Highest_degree'],51896.55172413793,3667
['Highest_degree'],53103.44827586207,3634
['Highest_degree'],54310.3448275862,3634
['Highest_degree'],55517.24137931035,3634
['Highest_degree'],56724.13793103448,3634
['Highest_degree'],57931.03448275862,3634
['Highest_degree'],59137.93103448275,3634
['Highest_degree'],60344.8275862069,3634
['Highest_degree'],61551.72413793103,3634
['Highest_degree'],62758.620689655174,3634
['Highest_degree'],63965.51724137931,3634
['Highest_degree'],65172.41379310345,3634
['Highest_degree'],66379.3103448276,3634
['Highest_degree'],67586.20689655172,3634
['Highest_degree'],68793.10344827586,3634
['Highest_degree'],70000.0,3634
['Lowest_degree'],35000.0,7000
['Lowest_degree'],36206.89655172414,10000
['Lowest_degree'],37413.793103448275,8000
