Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Random'],25000.0,20000
['Random'],26410.25641025641,20000
['Random'],27820.51282051282,20000
['Random'],29230.76923076923,10000
['Random'],30641.02564102564,20000
['Random'],32051.28205128205,10000
['Random'],33461.53846153846,20000
['Random'],34871.794871794875,20000
['Random'],36282.05128205128,20000
['Random'],37692.30769230769,20000
['Random'],39102.5641025641,20000
['Random'],40512.820512820515,20000
['Random'],41923.07692307692,20000
['Random'],43333.33333333333,20000
['Random'],44743.58974358974,20000
['Random'],46153.846153846156,18000
['Random'],47564.10256410256,12000
['Random'],48974.35897435897,12000
['Random'],50384.61538461538,12000
['Random'],51794.8717948718,12000
['Random'],53205.1282051282,14000
['Random'],54615.38461538461,20000
['Random'],56025.64102564102,20000
['Random'],57435.89743589744,20000
['Random'],58846.153846153844,20000
['Random'],60256.41025641025,15000
['Random'],61666.666666666664,17000
['Random'],63076.92307692308,4953
['Random'],64487.179487179485,4953
['Random'],65897.43589743589,4953
['Random'],67307.69230769231,4953
['Random'],68717.94871794872,4953
['Random'],70128.20512820513,4953
['Random'],71538.46153846153,4953
['Random'],72948.71794871794,4953
['Random'],74358.97435897436,4953
['Random'],75769.23076923077,4953
['Random'],77179.48717948717,4953
['Random'],78589.7435897436,4953
['Random'],80000.0,4953
['Highest_degree'],25000.0,20000
['Highest_degree'],26410.25641025641,20000
['Highest_degree'],27820.51282051282,20000
['Highest_degree'],29230.76923076923,20000
['Highest_degree'],30641.02564102564,20000
['Highest_degree'],32051.28205128205,20000
['Highest_degree'],33461.53846153846,20000
['Highest_degree'],34871.794871794875,20000
['Highest_degree'],36282.05128205128,20000
['Highest_degree'],37692.30769230769,20000
['Highest_degree'],39102.5641025641,20000
['Highest_degree'],40512.820512820515,19000
['Highest_degree'],41923.07692307692,20000
['Highest_degree'],43333.33333333333,20000
['Highest_degree'],44743.58974358974,19000
['Highest_degree'],46153.846153846156,19000
['Highest_degree'],47564.10256410256,20000
['Highest_degree'],48974.35897435897,20000
['Highest_degree'],50384.61538461538,15000
['Highest_degree'],51794.8717948718,14000
['Highest_degree'],53205.1282051282,5950
['Highest_degree'],54615.38461538461,5212
['Highest_degree'],56025.64102564102,5212
['Highest_degree'],57435.89743589744,5212
['Highest_degree'],58846.153846153844,5212
['Highest_degree'],60256.41025641025,5212
['Highest_degree'],61666.666666666664,5212
['Highest_degree'],63076.92307692308,5212
['Highest_degree'],64487.179487179485,5212
['Highest_degree'],65897.43589743589,5212
['Highest_degree'],67307.69230769231,5212
['Highest_degree'],68717.94871794872,5212
['Highest_degree'],70128.20512820513,5212
['Highest_degree'],71538.46153846153,5212
['Highest_degree'],72948.71794871794,5212
['Highest_degree'],74358.97435897436,5212
['Highest_degree'],75769.23076923077,5212
['Highest_degree'],77179.48717948717,5212
['Highest_degree'],78589.7435897436,5212
['Highest_degree'],80000.0,5212
['Lowest_degree'],25000.0,20000
['Lowest_degree'],26410.25641025641,20000
['Lowest_degree'],27820.51282051282,20000
['Lowest_degree'],29230.76923076923,20000
['Lowest_degree'],30641.02564102564,20000
['Lowest_degree'],32051.28205128205,20000
['Lowest_degree'],33461.53846153846,18000
['Lowest_degree'],34871.794871794875,18000
['Lowest_degree'],36282.05128205128,18000
['Lowest_degree'],37692.30769230769,18000
['Lowest_degree'],39102.5641025641,20000
['Lowest_degree'],40512.820512820515,18000
['Lowest_degree'],41923.07692307692,20000
['Lowest_degree'],43333.33333333333,20000
['Lowest_degree'],44743.58974358974,20000
['Lowest_degree'],46153.846153846156,20000
['Lowest_degree'],47564.10256410256,20000
['Lowest_degree'],48974.35897435897,20000
['Lowest_degree'],50384.61538461538,18000
['Lowest_degree'],51794.8717948718,20000
['Lowest_degree'],53205.1282051282,20000
['Lowest_degree'],54615.38461538461,20000
['Lowest_degree'],56025.64102564102,20000
['Lowest_degree'],57435.89743589744,20000
['Lowest_degree'],58846.153846153844,20000
['Lowest_degree'],60256.41025641025,20000
['Lowest_degree'],61666.666666666664,20000
['Lowest_degree'],63076.92307692308,20000
['Lowest_degree'],64487.179487179485,17308
['Lowest_degree'],65897.43589743589,14275
['Lowest_degree'],67307.69230769231,14222
['Lowest_degree'],68717.94871794872,14205
['Lowest_degree'],70128.20512820513,10036
['Lowest_degree'],71538.46153846153,10283
['Lowest_degree'],72948.71794871794,9634
['Lowest_degree'],74358.97435897436,9634
['Lowest_degree'],75769.23076923077,9634
['Lowest_degree'],77179.48717948717,9634
['Lowest_degree'],78589.7435897436,9634
['Lowest_degree'],80000.0,9634
['Highest_gamma'],25000.0,20000
['Highest_gamma'],26410.25641025641,20000
['Highest_gamma'],27820.51282051282,20000
['Highest_gamma'],29230.76923076923,20000
['Highest_gamma'],30641.02564102564,20000
['Highest_gamma'],32051.28205128205,20000
['Highest_gamma'],33461.53846153846,20000
['Highest_gamma'],34871.794871794875,12000
['Highest_gamma'],36282.05128205128,14000
['Highest_gamma'],37692.30769230769,12000
['Highest_gamma'],39102.5641025641,12000
['Highest_gamma'],40512.820512820515,19000
['Highest_gamma'],41923.07692307692,14000
['Highest_gamma'],43333.33333333333,13000
['Highest_gamma'],44743.58974358974,13000
['Highest_gamma'],46153.846153846156,14000
['Highest_gamma'],47564.10256410256,14000
['Highest_gamma'],48974.35897435897,13000
['Highest_gamma'],50384.61538461538,12000
['Highest_gamma'],51794.8717948718,13000
['Highest_gamma'],53205.1282051282,14000
['Highest_gamma'],54615.38461538461,14000
['Highest_gamma'],56025.64102564102,20000
['Highest_gamma'],57435.89743589744,20000
['Highest_gamma'],58846.153846153844,20000
['Highest_gamma'],60256.41025641025,20000
['Highest_gamma'],61666.666666666664,20000
['Highest_gamma'],63076.92307692308,20000
['Highest_gamma'],64487.179487179485,20000
['Highest_gamma'],65897.43589743589,20000
['Highest_gamma'],67307.69230769231,20000
['Highest_gamma'],68717.94871794872,20000
['Highest_gamma'],70128.20512820513,20000
